"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "CSS", "XML", "Markdown", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\Acer\OneDrive\Desktop\PROJECTS\student management frontend\src\components\ui\toaster.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Acer\OneDrive\Desktop\PROJECTS\student management frontend\src\hooks\use-toast.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 3, 25, 156
"c:\Users\Acer\OneDrive\Desktop\PROJECTS\student management frontend\src\index.css", "CSS", 0, 0, 0, 99, 0, 0, 0, 0, 1, 7, 107
"c:\Users\Acer\OneDrive\Desktop\PROJECTS\student management frontend\src\lib\utils.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Acer\OneDrive\Desktop\PROJECTS\student management frontend\src\main.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Acer\OneDrive\Desktop\PROJECTS\student management frontend\src\pages\AttendanceTracker.jsx", "JavaScript JSX", 0, 0, 448, 0, 0, 0, 0, 0, 13, 27, 488
"c:\Users\Acer\OneDrive\Desktop\PROJECTS\student management frontend\src\pages\dashboard.jsx", "JavaScript JSX", 0, 0, 192, 0, 0, 0, 0, 0, 20, 9, 221
"c:\Users\Acer\OneDrive\Desktop\PROJECTS\student management frontend\src\pages\students.jsx", "JavaScript JSX", 0, 0, 124, 0, 0, 0, 0, 0, 10, 16, 150
"c:\Users\Acer\OneDrive\Desktop\PROJECTS\student management frontend\src\pages\teacher.jsx", "JavaScript JSX", 0, 0, 125, 0, 0, 0, 0, 0, 10, 15, 150
"c:\Users\Acer\OneDrive\Desktop\PROJECTS\student management frontend\vite.config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"Total", "-", 185, 6741, 2907, 99, 2, 5, 10, 13, 94, 355, 10411
